Population,rec_time,site,lab_time,time_since_min,min_t,sample_t,num_q,height,height,height,height,height,height,height,height,height,height,height,height
9,1500,1,28,13,10,25,11,9.8,20.69624334,17.81898896,17.88276122,19.3317356,19.05812631,17.01117061,18.49206434,20.62412256,18.85656357,20.84551506,
10,1500,2,22,13,10,25,7,6.8,4.8,20.52406734,19.04452586,20.2784901,20.13828482,17.03281131,,,,,
1,1000,3,8,8,12.5,17.5,6,19.75885096,17.58673638,18.76181625,18.407769,18.54535818,17.05144388,,,,,,
2,1000,1,28,8,12.5,17.5,8,9.1,17.82021508,17.82093098,18.5858482,18.23265727,17.71279294,17.42566892,18.18197565,,,,
3,1000,3,8,8,12.5,17.5,7,19.87963531,17.00222671,20.67520379,20.39461809,17.45788005,18.66866384,19.14357979,,,,,
4,1000,3,8,8,12.5,17.5,6,7.8,18.64332163,20.07793192,18.2768229,18.95654477,17.09118576,,,,,,
5,1000,3,8,8,12.5,17.5,7,17.99757167,17.37535194,17.77031481,19.16407446,19.76716127,19.17203342,20.61065523,,,,,
6,1000,4,8,8,12.5,17.5,8,8.8,17.84497069,20.26459853,18.95145327,19.74705012,19.51118749,18.07629707,20.38068038,,,,
7,1000,4,8,8,12.5,17.5,8,14.1,9.9,9.8,3.2,20.77956733,19.63440102,18.93896498,18.4776999,,,,
8,1000,4,8,8,12.5,17.5,9,9.3,9.3,9.4,9.3,17.11333968,17.319865,19.94763651,19.37867749,17.35238472,,,
9,1000,1,28,8,12.5,17.5,9,9.4,14.6,17.65554278,17.80549976,18.0400624,18.78451495,17.8341678,20.57438919,18.79416215,,,
10,1000,2,22,8,12.5,17.5,8,9.2,17.4188946,20.17728759,19.99960411,19.76891872,17.02786976,17.05392678,17.12751875,,,,
1,1100,3,8,9,12.5,20,7,19.39244782,17.24667194,20.15302929,20.43796592,19.45371232,19.07204425,19.29622416,,,,,
2,1100,1,28,9,12.5,20,7,20.48934935,20.10765698,18.55460135,18.82125929,17.77037347,18.92145175,17.13775111,,,,,
3,1100,3,8,9,12.5,20,6,15.6,18.0021814,17.55560291,20.12418502,19.95317691,20.18793927,,,,,,
4,1100,3,8,9,12.5,20,7,20.84955777,17.13212258,18.74774214,19.42564846,18.30521269,18.02585773,17.10769897,,,,,
5,1100,3,8,9,12.5,20,8,20.95922218,20.0064197,19.60642136,18.74477308,19.96195391,18.09841529,18.30488348,18.46567434,,,,
6,1100,4,8,9,12.5,20,8,5.7,9.4,19.03740957,19.1881455,19.41060014,18.28540089,17.5828447,18.57923938,,,,
7,1100,4,8,9,12.5,20,9,9.6,7.2,14.4,18.7026982,17.66001475,19.69770059,20.04448884,18.6203203,19.61908285,,,
8,1100,4,8,9,12.5,20,8,9.3,9.3,9.3,9.3,19.72688128,20.70490183,20.19379767,20.93097803,,,,
9,1100,1,28,9,12.5,20,10,12.5,9.2,6.3,20.44576782,17.33156905,19.27053826,20.84773031,18.75495247,17.56758682,20.75140103,,
10,1100,2,22,9,12.5,20,7,9.1,4.5,17.66298428,20.461418,19.1436805,19.75765794,18.55660014,,,,,
1,1200,3,8,10,12.5,20,5,19.85783512,19.92481075,20.39960956,18.64403075,17.08871,,,,,,,
2,1200,1,28,10,12.5,20,6,19.83959577,19.85392826,18.03000552,19.45766248,17.78148579,20.32376648,,,,,,
3,1200,3,8,10,12.5,20,7,17.79538813,19.50460868,19.60564457,19.75268953,18.9271706,20.55315972,20.56715116,,,,,
4,1200,3,8,10,12.5,20,9,7.5,3.8,18.11532584,19.99736217,19.69814985,18.03924552,20.99817857,20.2998443,19.45015543,,,
5,1200,3,8,10,12.5,20,8,19.36341185,18.37227682,17.26472877,18.71360678,18.84462789,18.89041415,19.88336116,18.87030078,,,,
6,1200,4,8,10,12.5,20,8,8.9,20.59467765,19.35395453,19.499112,18.24601165,20.93877107,17.13133676,18.98924332,,,,
7,1200,4,8,10,12.5,20,4,9.3,20.7524734,20.47663206,18.72794822,,,,,,,,
8,1200,4,8,10,12.5,20,7,3.1,19.24414147,19.6369957,17.29008264,17.3746748,18.48473123,18.20098394,,,,,
9,1200,1,28,10,12.5,20,8,9.1,9,9.3,8.9,20.45746863,17.82707394,17.73958116,19.15418369,,,,
