pop,numb_q,numb_tick,perc_q,rec_time,site,lab_time,time_since_min,min_t,sample_t,mean_nt
2,6,15,0.4,1200,1,28,10,10,20,13
3,8,15,0.533333333,1200,3,8,10,10,20,13
4,9,15,0.6,1200,3,8,10,10,20,13
5,6,15,0.4,1200,3,8,10,10,20,13
6,7,15,0.466666667,1200,4,8,10,10,20,13
7,8,15,0.533333333,1200,4,8,10,10,20,13
8,7,15,0.466666667,1200,4,8,10,10,20,13
9,14,15,0.933333333,1200,1,28,10,10,20,13
10,13,15,0.866666667,1200,2,22,10,10,20,13
1,7,15,0.466666667,1300,3,8,11,10,22.5,13
2,6,15,0.4,1300,1,28,11,10,22.5,13
3,13,15,0.866666667,1300,3,8,11,10,22.5,13
4,5,15,0.333333333,1300,3,8,11,10,22.5,13
5,8,15,0.533333333,1300,3,8,11,10,22.5,13
6,7,15,0.466666667,1300,4,8,11,10,22.5,13
7,5,15,0.333333333,1300,4,8,11,10,22.5,13
8,10,15,0.666666667,1300,4,8,11,10,22.5,13
9,8,15,0.533333333,1300,1,28,11,10,22.5,13
10,7,15,0.466666667,1300,2,22,11,10,22.5,13
1,6,15,0.4,1400,3,8,12,10,22.5,13
2,9,15,0.6,1400,1,28,12,10,22.5,13
3,6,15,0.4,1400,3,8,12,10,22.5,13
4,5,15,0.333333333,1400,3,8,12,10,22.5,13
5,7,15,0.466666667,1400,3,8,12,10,22.5,13
6,8,15,0.533333333,1400,4,8,12,10,22.5,13
7,7,15,0.466666667,1400,4,8,12,10,22.5,13
8,8,15,0.533333333,1400,4,8,12,10,22.5,13
9,13,15,0.866666667,1400,1,28,12,10,22.5,13
10,11,15,0.733333333,1400,2,22,12,10,22.5,13
1,4,15,0.266666667,1500,3,8,13,10,25,13
2,8,15,0.533333333,1500,1,28,13,10,25,13
3,7,15,0.466666667,1500,3,8,13,10,25,13
4,6,15,0.4,1500,3,8,13,10,25,13
5,11,15,0.733333333,1500,3,8,13,10,25,13
6,8,15,0.533333333,1500,4,8,13,10,25,13
7,7,15,0.466666667,1500,4,8,13,10,25,13
8,7,15,0.466666667,1500,4,8,13,10,25,13
9,13,15,0.866666667,1500,1,28,13,10,25,13
10,14,15,0.933333333,1500,2,22,13,10,25,13
1,6,15,0.4,1000,3,8,8,12.5,17.5,14.5
2,8,15,0.533333333,1000,1,28,8,12.5,17.5,14.5
3,8,15,0.533333333,1000,3,8,8,12.5,17.5,14.5
4,6,15,0.4,1000,3,8,8,12.5,17.5,14.5
5,9,15,0.6,1000,3,8,8,12.5,17.5,14.5
6,8,15,0.533333333,1000,4,8,8,12.5,17.5,14.5
7,8,15,0.533333333,1000,4,8,8,12.5,17.5,14.5
8,11,15,0.733333333,1000,4,8,8,12.5,17.5,14.5
9,13,15,0.866666667,1000,1,28,8,12.5,17.5,14.5
10,10,15,0.666666667,1000,2,22,8,12.5,17.5,14.5
1,7,15,0.466666667,1100,3,8,9,12.5,20,14.5
2,7,15,0.466666667,1100,1,28,9,12.5,20,14.5
3,6,15,0.4,1100,3,8,9,12.5,20,14.5
4,7,15,0.466666667,1100,3,8,9,12.5,20,14.5
5,8,15,0.533333333,1100,3,8,9,12.5,20,14.5
6,8,15,0.533333333,1100,4,8,9,12.5,20,14.5
7,9,15,0.6,1100,4,8,9,12.5,20,14.5
8,8,15,0.533333333,1100,4,8,9,12.5,20,14.5
9,12,15,0.8,1100,1,28,9,12.5,20,14.5
10,11,15,0.733333333,1100,2,22,9,12.5,20,14.5
1,7,15,0.466666667,1200,3,8,10,12.5,20,14.5
2,6,15,0.4,1200,1,28,10,12.5,20,14.5
3,8,15,0.533333333,1200,3,8,10,12.5,20,14.5
4,11,15,0.733333333,1200,3,8,10,12.5,20,14.5
5,10,15,0.666666667,1200,3,8,10,12.5,20,14.5
6,9,15,0.6,1200,4,8,10,12.5,20,14.5
7,4,15,0.266666667,1200,4,8,10,12.5,20,14.5
8,7,15,0.466666667,1200,4,8,10,12.5,20,14.5
9,13,15,0.866666667,1200,1,28,10,12.5,20,14.5
10,11,15,0.733333333,1200,2,22,10,12.5,20,14.5
1,6,15,0.4,1300,3,8,11,12.5,22.5,14.5
2,8,15,0.533333333,1300,1,28,11,12.5,22.5,14.5
3,7,15,0.466666667,1300,3,8,11,12.5,22.5,14.5
4,8,15,0.533333333,1300,3,8,11,12.5,22.5,14.5
5,8,15,0.533333333,1300,3,8,11,12.5,22.5,14.5
6,7,15,0.466666667,1300,4,8,11,12.5,22.5,14.5
7,9,15,0.6,1300,4,8,11,12.5,22.5,14.5
8,7,15,0.466666667,1300,4,8,11,12.5,22.5,14.5
9,11,15,0.733333333,1300,1,28,11,12.5,22.5,14.5
10,12,15,0.8,1300,2,22,11,12.5,22.5,14.5
1,6,15,0.4,1400,3,8,12,12.5,22.5,14.5
2,7,15,0.466666667,1400,1,28,12,12.5,22.5,14.5
3,5,15,0.333333333,1400,3,8,12,12.5,22.5,14.5
4,8,15,0.533333333,1400,3,8,12,12.5,22.5,14.5
5,7,15,0.466666667,1400,3,8,12,12.5,22.5,14.5
6,9,15,0.6,1400,4,8,12,12.5,22.5,14.5
7,6,15,0.4,1400,4,8,12,12.5,22.5,14.5
8,13,15,0.866666667,1400,4,8,12,12.5,22.5,14.5
9,12,15,0.8,1400,1,28,12,12.5,22.5,14.5
10,14,15,0.933333333,1400,2,22,12,12.5,22.5,14.5
1,7,15,0.466666667,1500,3,8,13,12.5,25,14.5
2,8,15,0.533333333,1500,1,28,13,12.5,25,14.5
3,5,15,0.333333333,1500,3,8,13,12.5,25,14.5
4,8,15,0.533333333,1500,3,8,13,12.5,25,14.5
5,7,15,0.466666667,1500,3,8,13,12.5,25,14.5
6,8,15,0.533333333,1500,4,8,13,12.5,25,14.5
7,5,15,0.333333333,1500,4,8,13,12.5,25,14.5
8,12,15,0.8,1500,4,8,13,12.5,25,14.5
9,14,15,0.933333333,1500,1,28,13,12.5,25,14.5
10,12,15,0.8,1500,2,22,13,12.5,25,14.5
1,5,15,0.333333333,1000,3,8,8,15,17.5,16
2,5,15,0.333333333,1000,1,28,8,15,17.5,16
3,3,15,0.2,1000,3,8,8,15,17.5,16
4,4,15,0.266666667,1000,3,8,8,15,17.5,16
5,5,15,0.333333333,1000,3,8,8,15,17.5,16
6,8,15,0.533333333,1000,4,8,8,15,17.5,16
7,8,15,0.533333333,1000,4,8,8,15,17.5,16
8,5,15,0.333333333,1000,4,8,8,15,17.5,16
9,7,15,0.466666667,1000,1,28,8,15,17.5,16
10,5,15,0.333333333,1000,2,22,8,15,17.5,16
1,3,15,0.2,1100,3,8,9,15,20,16
2,4,15,0.266666667,1100,1,28,9,15,20,16
3,4,15,0.266666667,1100,3,8,9,15,20,16
4,5,15,0.333333333,1100,3,8,9,15,20,16
5,6,15,0.4,1100,3,8,9,15,20,16
6,8,15,0.533333333,1100,4,8,9,15,20,16
7,6,15,0.4,1100,4,8,9,15,20,16
8,8,15,0.533333333,1100,4,8,9,15,20,16
9,6,15,0.4,1100,1,28,9,15,20,16
10,4,15,0.266666667,1100,2,22,9,15,20,16
1,4,15,0.266666667,1200,3,8,10,15,20,16
